gamma0,UMV,LRP,PDDi,WeertC
9618.882299,2.06E+20,0.0007158110488,0.01959005894,22300.78404
159188.5414,7.97E+20,0.0005273064933,0.016819248,13110.00177
159188.5414,2.37E+19,0.0003959650859,0.01197851588,16585.21943
471264.2917,6.49E+20,0.0006618007492,0.01355036591,31568.73903
159188.5414,3.21E+20,0.0001022167927,0.01814896501,39836.39122
86984.00071,1.49E+20,0.00034441569,0.01992940821,28201.90951
159188.5414,8.87E+20,2.14E-05,0.01271047993,44002.9993
86984.00071,6.58E+20,0.0002943009074,0.01727433303,50219.64408
86984.00071,1.08E+20,0.0005212907124,0.01718284559,58869.63885
159188.5414,7.19E+19,0.000647430458,0.01974020607,14564.48006
9618.882299,2.56E+20,0.0001770793962,0.01573544076,57976.1709
86984.00071,9.92E+20,0.0004776064834,0.008196905718,44984.03262
86984.00071,6.59E+20,9.13E-06,0.01581673364,37845.75785
21005.34364,8.67E+20,0.0003861732893,0.01031156988,28644.13627
86984.00071,3.97E+20,0.0006733401169,0.01365115296,11788.66899
21005.34364,3.95E+18,0.0002748625694,0.009265380492,55329.60532
86984.00071,3.86E+20,0.0004898406253,0.008247968298,46705.01399
21005.34364,1.18E+19,0.0007474532182,0.01923532624,33688.46672
159188.5414,1.10E+20,0.0003487416937,0.009455541255,35893.34528
9618.882299,3.78E+20,0.0006325173789,0.01172940514,13538.0634
159188.5414,6.01E+20,0.0005155521823,0.01147366702,40469.04694
471264.2917,5.98E+20,0.0007067850312,0.01856780918,57726.91524
14477.33676,9.73E+20,0.0002880637541,0.01893830157,48511.13188
9618.882299,6.38E+19,0.0002214795209,0.0140499266,29226.79605
14477.33676,7.76E+19,0.0001319131798,0.008877433583,34257.01652
471264.2917,9.41E+20,8.70E-05,0.009948269085,17146.58342
471264.2917,2.64E+20,0.0001648746403,0.01832536171,56722.24988
14477.33676,1.94E+20,0.000445147469,0.008974009088,36284.82477
14477.33676,7.65E+20,7.80E-05,0.008540029656,41688.20902
14477.33676,9.84E+20,0.0007632712295,0.01660640202,61706.95591
471264.2917,3.06E+20,0.0004996050504,0.0116883553,30646.734
471264.2917,7.30E+20,0.0005362013101,0.01414706657,25595.84133
9618.882299,9.66E+20,0.0004019533484,0.01540604586,47173.55578
14477.33676,8.40E+20,0.0004620619087,0.01151908929,9529.476147
9618.882299,8.46E+20,0.0005649674856,0.01627811448,56981.26246
159188.5414,1.59E+20,0.0006057641673,0.0151353135,22085.39579
14477.33676,7.52E+20,0.0005825812034,0.01448970052,58432.17316
159188.5414,6.11E+20,0.0002713517601,0.01523134213,26521.90812
159188.5414,6.72E+20,0.0002082017037,0.01678030408,38971.09408
9618.882299,9.45E+20,4.47E-05,0.01752839612,42362.57609
9618.882299,2.69E+20,0.0004361876152,0.01432709167,20723.53349
21005.34364,4.69E+20,0.0002358160712,0.0170344039,29623.22504
86984.00071,6.34E+20,5.50E-06,0.01904518304,31898.44214
21005.34364,5.12E+20,8.18E-05,0.01969974976,33459.66576
471264.2917,2.33E+20,0.0003178364756,0.01617363666,25220.63752
14477.33676,4.14E+20,0.0003024305734,0.01236602441,40847.70347
86984.00071,3.49E+20,0.0001714927037,0.01499045975,26819.33472
159188.5414,8.72E+20,0.0001802457874,0.01786810082,27430.21653
9618.882299,2.98E+20,0.0002433696654,0.009675638423,19270.5628
471264.2917,1.86E+20,0.0002031859461,0.01000747185,18827.07663
159188.5414,5.25E+20,0.0003331290552,0.01945680313,43344.2105
14477.33676,8.83E+20,0.000357493422,0.01013587861,10450.99306
86984.00071,5.66E+20,0.0007055607034,0.01093401524,7977.616964
471264.2917,4.96E+20,0.0007963010546,0.01280525023,45100.53759
471264.2917,7.73E+20,0.0005446277595,0.01983549175,37050.9696
14477.33676,9.96E+19,0.0007852790489,0.008484454321,21470.84923
21005.34364,9.13E+20,4.97E-05,0.01083203532,26121.43394
471264.2917,7.05E+20,0.0007368989976,0.01054556136,24917.38297
9618.882299,1.75E+20,0.0005911196251,0.01075271589,53177.58063
86984.00071,9.29E+20,0.00033585127,0.01557868085,60696.91462
14477.33676,1.81E+20,0.0005063958041,0.01502744197,23639.3552
9618.882299,5.89E+19,0.0005488556048,0.01861140042,12674.07145
86984.00071,5.83E+20,0.0001084078483,0.0118057727,61164.28626
159188.5414,1.29E+20,0.0007773927387,0.0131195617,38412.64645
9618.882299,1.35E+20,0.0003745242312,0.01746321605,52662.08802
86984.00071,5.06E+20,0.0006251154725,0.01765519013,45626.03274
9618.882299,5.58E+20,0.0007285297071,0.01337488666,48255.48389
86984.00071,8.24E+20,5.84E-05,0.009776431796,49759.34409
471264.2917,6.21E+20,0.0004691941732,0.01887767755,34679.87268
14477.33676,6.85E+20,0.0005086225287,0.01067852923,9071.017708
159188.5414,7.48E+20,1.93E-05,0.008387215656,44382.05487
86984.00071,4.32E+20,0.0001544219139,0.01658380033,59921.5167
21005.34364,7.18E+20,0.0006164862321,0.01938395372,53710.80739
9618.882299,2.81E+20,0.0003732928016,0.01048020803,9925.10594
471264.2917,7.40E+20,0.0007249600266,0.01298626504,39128.78557
159188.5414,4.49E+20,0.0001257410854,0.01345583866,14183.55874
14477.33676,8.01E+20,0.0002563355932,0.01483138421,52239.05199
21005.34364,9.04E+20,0.0001975104158,0.01423790766,8443.205406
21005.34364,4.86E+20,0.0004838738569,0.01399927102,54630.29528
14477.33676,5.35E+20,0.0002826217843,0.01535205323,32866.24449
86984.00071,2.87E+20,0.0001133463927,0.01305516504,49360.17023
14477.33676,1.58E+20,0.0002285006647,0.01632810275,19890.54995
471264.2917,9.82E+20,0.0007923374684,0.01804688302,24079.44781
159188.5414,7.76E+20,0.0004132965482,0.01026540195,15109.80655
9618.882299,6.31E+20,0.0006462609913,0.01847389073,55750.5758
21005.34364,6.82E+20,0.0004289373934,0.009097312499,10943.67586
21005.34364,2.18E+20,6.29E-05,0.008067638557,17692.15325
9618.882299,8.53E+20,0.0004249105464,0.0177045102,41990.91704
159188.5414,4.09E+19,3.10E-05,0.01468020794,16158.91126
14477.33676,4.36E+20,0.0006870064005,0.00958114378,30171.4265
21005.34364,5.26E+20,0.0003886476555,0.01384043955,40961.02118
471264.2917,2.46E+20,0.0001893400077,0.008611429983,15679.42365
14477.33676,4.76E+20,6.95E-05,0.012649273,51734.4428
471264.2917,5.85E+20,0.0001342551613,0.01321446828,11272.8223
21005.34364,3.67E+20,0.000308549346,0.01476816582,62063.01908
86984.00071,4.07E+20,0.0004486472752,0.01450857015,54709.12933
159188.5414,4.18E+20,0.0001528398519,0.01794202006,32596.24075
14477.33676,8.28E+20,0.0005698201617,0.0164013564,54064.08632
159188.5414,8.47E+19,0.0006533388944,0.01912196802,20183.7395
471264.2917,1.19E+20,0.0005780874074,0.0187163363,8865.986184
471264.2917,4.56E+20,0.0002188987174,0.01376324833,23209.67596
9618.882299,7.85E+20,0.0006101973572,0.01244025433,60463.91734
21005.34364,3.29E+20,0.0003204676932,0.008783972187,18201.52538
21005.34364,3.64E+20,0.0007573952484,0.009333490328,56131.4856
159188.5414,4.66E+20,0.000248595445,0.01129330542,46410.30377
471264.2917,6.92E+20,0.0006962337803,0.01594320872,21026.81958
21005.34364,7.16E+20,0.0002641281727,0.01251497986,47541.59748
21005.34364,2.41E+20,0.0006821820438,0.01736334533,37736.98865
14477.33676,3.57E+20,0.0004563822149,0.01112721582,30988.25326
9618.882299,8.10E+20,0.0007679351576,0.009163859433,50558.18729
86984.00071,3.13E+19,0.0003620181524,0.01568343003,43208.1282
86984.00071,3.41E+20,0.0005537629911,0.01131432151,35340.21212
14477.33676,5.46E+20,0.0004161466528,0.01108057069,36771.85311
21005.34364,8.98E+20,0.0001413757841,0.01828968341,17603.86819
86984.00071,5.69E+20,0.0006382550066,0.01213862672,48839.36268
471264.2917,2.15E+20,0.000667047357,0.01608432364,12164.39133
21005.34364,9.57E+20,0.0005969459535,0.01223884871,28079.55828
9618.882299,9.25E+20,3.88E-05,0.009878740608,22846.37812
21005.34364,3.12E+20,0.000743134399,0.01203127336,51296.82688
9618.882299,4.37E+19,9.52E-05,0.01690197907,59499.83164